GAME_DATE,MATCHUP,WL,Scenario,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,STL,BLK,TOV,PLUS_MINUS
"Apr 14, 2024",LAL @ NOP,W,With LeBron,33,30,13,17,0.765,0,1,0.0,4,4,1.0,11,3,2,0,3,15
"Apr 12, 2024",LAL @ MEM,W,With LeBron,43,36,11,22,0.5,1,6,0.167,13,17,0.765,14,5,1,2,4,2
"Apr 07, 2024",LAL vs. MIN,L,Without LeBron,12,4,2,6,0.333,0,0,0.0,0,0,0.0,4,3,2,0,1,4
"Apr 06, 2024",LAL vs. CLE,W,With LeBron,36,22,7,11,0.636,1,1,1.0,7,9,0.778,13,4,3,6,0,8
"Apr 03, 2024",LAL @ WAS,W,With LeBron,38,35,10,17,0.588,0,1,0.0,15,15,1.0,18,1,2,3,2,29
"Apr 02, 2024",LAL @ TOR,W,With LeBron,28,21,10,20,0.5,0,4,0.0,1,4,0.25,12,1,0,0,5,14
"Mar 31, 2024",LAL @ BKN,W,With LeBron,35,24,9,12,0.75,1,3,0.333,5,6,0.833,14,0,0,3,4,18
"Mar 29, 2024",LAL @ IND,L,With LeBron,38,24,9,17,0.529,0,1,0.0,6,7,0.857,15,3,0,0,3,-12
"Mar 26, 2024",LAL @ MIL,W,Without LeBron,52,34,12,31,0.387,3,8,0.375,7,7,1.0,23,2,2,4,4,1
"Mar 24, 2024",LAL vs. IND,W,With LeBron,40,36,15,21,0.714,1,2,0.5,5,5,1.0,16,3,2,1,2,11
"Mar 22, 2024",LAL vs. PHI,W,With LeBron,40,23,10,16,0.625,1,2,0.5,2,4,0.5,19,4,0,4,3,4
"Mar 18, 2024",LAL vs. ATL,W,With LeBron,31,22,10,14,0.714,1,2,0.5,1,2,0.5,15,6,2,1,2,28
"Mar 16, 2024",LAL vs. GSW,L,With LeBron,12,8,3,6,0.5,0,0,0.0,2,2,1.0,4,2,1,1,0,6
"Mar 13, 2024",LAL @ SAC,L,With LeBron,41,22,7,18,0.389,1,2,0.5,7,8,0.875,10,3,1,1,2,-8
"Mar 10, 2024",LAL vs. MIN,W,With LeBron,39,27,9,17,0.529,0,0,0.0,9,13,0.692,25,5,7,3,3,15
"Mar 08, 2024",LAL vs. MIL,W,Without LeBron,41,22,10,21,0.476,0,1,0.0,2,2,1.0,13,5,0,3,0,-3
"Mar 06, 2024",LAL vs. SAC,L,With LeBron,34,14,5,13,0.385,0,1,0.0,4,5,0.8,11,3,0,1,2,-6
"Mar 04, 2024",LAL vs. OKC,W,With LeBron,30,24,7,12,0.583,0,0,0.0,10,11,0.909,12,4,1,3,2,10
"Mar 02, 2024",LAL vs. DEN,L,With LeBron,39,17,7,13,0.538,0,0,0.0,3,4,0.75,11,2,0,3,0,-11
"Feb 29, 2024",LAL vs. WAS,W,With LeBron,41,40,14,22,0.636,0,0,0.0,12,13,0.923,15,4,1,3,1,6
"Feb 28, 2024",LAL @ LAC,W,With LeBron,36,20,8,15,0.533,0,2,0.0,4,5,0.8,12,2,2,3,2,-4
"Feb 25, 2024",LAL @ PHX,L,With LeBron,42,22,11,17,0.647,0,0,0.0,0,0,0.0,14,0,3,2,3,-2
"Feb 23, 2024",LAL vs. SAS,W,With LeBron,29,28,10,14,0.714,0,1,0.0,8,10,0.8,13,0,1,0,1,10
"Feb 22, 2024",LAL @ GSW,L,Without LeBron,33,27,11,19,0.579,0,2,0.0,5,6,0.833,15,1,0,3,3,-16
"Feb 14, 2024",LAL @ UTA,W,Without LeBron,38,37,13,25,0.52,1,3,0.333,10,13,0.769,15,1,0,2,2,24
"Feb 13, 2024",LAL vs. DET,W,With LeBron,28,20,6,12,0.5,1,3,0.333,7,7,1.0,14,4,0,6,1,12
"Feb 09, 2024",LAL vs. NOP,W,With LeBron,29,20,7,11,0.636,0,1,0.0,6,7,0.857,6,6,1,1,3,0
"Feb 08, 2024",LAL vs. DEN,L,With LeBron,38,32,14,27,0.519,0,3,0.0,4,6,0.667,9,3,3,4,1,-11
"Feb 05, 2024",LAL @ CHA,W,With LeBron,37,26,12,16,0.75,0,2,0.0,2,2,1.0,15,11,0,3,2,16
"Feb 03, 2024",LAL @ NYK,W,With LeBron,36,12,4,12,0.333,0,1,0.0,4,4,1.0,18,5,1,4,0,6
"Jan 29, 2024",LAL @ HOU,L,With LeBron,29,23,10,20,0.5,3,3,1.0,0,1,0.0,7,2,2,1,3,-10
"Jan 27, 2024",LAL @ GSW,W,With LeBron,45,29,11,24,0.458,0,4,0.0,7,9,0.778,13,3,0,4,2,-2
"Jan 25, 2024",LAL vs. CHI,W,With LeBron,36,22,10,18,0.556,0,1,0.0,2,5,0.4,11,6,0,1,0,13
"Jan 23, 2024",LAL @ LAC,L,Without LeBron,36,26,12,20,0.6,0,1,0.0,2,2,1.0,12,2,0,0,1,-9
"Jan 21, 2024",LAL vs. POR,W,With LeBron,26,14,4,7,0.571,0,1,0.0,6,6,1.0,14,3,0,0,0,3
"Jan 19, 2024",LAL vs. BKN,L,With LeBron,35,26,9,13,0.692,0,1,0.0,8,11,0.727,12,6,3,2,1,-12
"Jan 17, 2024",LAL vs. DAL,W,With LeBron,33,28,12,17,0.706,0,0,0.0,4,5,0.8,12,9,1,1,1,21
"Jan 15, 2024",LAL vs. OKC,W,With LeBron,38,27,9,17,0.529,0,1,0.0,9,10,0.9,15,5,2,1,2,8
"Jan 13, 2024",LAL @ UTA,L,Without LeBron,39,15,5,21,0.238,0,1,0.0,5,6,0.833,15,11,1,4,6,-12
"Jan 11, 2024",LAL vs. PHX,L,With LeBron,32,13,6,11,0.545,0,2,0.0,1,1,1.0,5,1,1,2,3,-24
"Jan 09, 2024",LAL vs. TOR,W,With LeBron,40,41,13,17,0.765,2,2,1.0,13,14,0.929,11,6,0,1,3,0
"Jan 07, 2024",LAL vs. LAC,W,With LeBron,39,22,10,15,0.667,0,1,0.0,2,4,0.5,10,1,3,1,3,-4
"Jan 05, 2024",LAL vs. MEM,L,With LeBron,41,31,13,22,0.591,0,3,0.0,5,7,0.714,6,4,0,2,4,-10
"Jan 03, 2024",LAL vs. MIA,L,With LeBron,43,29,10,17,0.588,0,1,0.0,9,10,0.9,17,6,3,5,5,-13
"Dec 31, 2023",LAL @ NOP,L,With LeBron,35,20,7,15,0.467,0,2,0.0,6,8,0.75,10,3,0,5,3,-17
"Dec 30, 2023",LAL @ MIN,L,With LeBron,39,33,12,17,0.706,1,2,0.5,8,10,0.8,17,8,4,2,2,-6
"Dec 28, 2023",LAL vs. CHA,W,With LeBron,26,26,11,19,0.579,0,1,0.0,4,4,1.0,8,2,2,4,2,6
"Dec 25, 2023",LAL vs. BOS,L,With LeBron,39,40,15,26,0.577,2,4,0.5,8,10,0.8,13,4,0,1,2,-6
"Dec 23, 2023",LAL @ OKC,W,With LeBron,42,26,11,21,0.524,1,1,1.0,3,6,0.5,11,7,1,2,3,3
"Dec 21, 2023",LAL @ MIN,L,Without LeBron,39,31,11,20,0.55,1,1,1.0,8,9,0.889,8,4,0,3,1,3
"Dec 20, 2023",LAL @ CHI,L,With LeBron,38,19,7,15,0.467,0,2,0.0,5,8,0.625,14,3,2,2,1,-3
"Dec 18, 2023",LAL vs. NYK,L,With LeBron,35,32,14,22,0.636,1,1,1.0,3,3,1.0,14,2,1,2,2,-6
"Dec 13, 2023",LAL @ SAS,W,Without LeBron,38,37,13,23,0.565,2,3,0.667,9,12,0.75,10,1,4,0,2,5
"Dec 12, 2023",LAL @ DAL,L,With LeBron,37,37,15,21,0.714,1,2,0.5,6,10,0.6,11,0,0,2,2,0
"Dec 07, 2023",LAL vs. NOP,W,With LeBron,31,16,5,10,0.5,0,2,0.0,6,8,0.75,15,5,2,2,2,35
"Dec 05, 2023",LAL vs. PHX,W,With LeBron,39,27,10,26,0.385,0,0,0.0,7,8,0.875,15,1,0,2,0,-1
"Dec 02, 2023",LAL vs. HOU,W,With LeBron,37,27,10,22,0.455,0,0,0.0,7,9,0.778,14,3,0,5,1,12
"Nov 30, 2023",LAL @ OKC,L,With LeBron,36,31,11,18,0.611,0,1,0.0,9,10,0.9,14,2,2,0,0,-12
"Nov 29, 2023",LAL @ DET,W,With LeBron,29,28,9,15,0.6,0,0,0.0,10,13,0.769,16,4,1,3,0,29
"Nov 27, 2023",LAL @ PHI,L,With LeBron,32,17,7,14,0.5,0,0,0.0,3,5,0.6,11,2,1,1,2,-13
"Nov 25, 2023",LAL @ CLE,W,With LeBron,38,32,13,20,0.65,0,0,0.0,6,7,0.857,13,3,2,3,5,3
"Nov 22, 2023",LAL vs. DAL,L,With LeBron,36,10,4,10,0.4,0,0,0.0,2,2,1.0,13,4,1,1,3,0
"Nov 21, 2023",LAL vs. UTA,W,With LeBron,29,26,11,14,0.786,0,0,0.0,4,5,0.8,16,4,2,0,2,34
"Nov 19, 2023",LAL vs. HOU,W,With LeBron,33,27,11,15,0.733,0,0,0.0,5,7,0.714,10,3,2,1,4,-8
"Nov 17, 2023",LAL @ POR,W,With LeBron,35,16,8,19,0.421,0,1,0.0,0,1,0.0,14,2,3,5,6,1
"Nov 15, 2023",LAL vs. SAC,L,With LeBron,35,9,3,9,0.333,0,1,0.0,3,3,1.0,9,0,0,4,5,-13
"Nov 14, 2023",LAL vs. MEM,W,With LeBron,27,19,7,11,0.636,0,0,0.0,5,6,0.833,11,5,0,6,2,21
"Nov 12, 2023",LAL vs. POR,W,Without LeBron,41,30,10,20,0.5,0,1,0.0,10,12,0.833,13,6,0,3,1,17
"Nov 10, 2023",LAL @ PHX,W,With LeBron,36,18,5,14,0.357,0,0,0.0,8,8,1.0,11,4,0,1,1,-5
"Nov 06, 2023",LAL @ MIA,L,With LeBron,25,9,4,7,0.571,0,0,0.0,1,1,1.0,6,4,0,1,1,-9
"Nov 04, 2023",LAL @ ORL,L,With LeBron,32,28,10,15,0.667,0,0,0.0,8,8,1.0,13,3,0,7,4,-24
"Nov 01, 2023",LAL vs. LAC,W,With LeBron,48,27,10,18,0.556,0,0,0.0,7,9,0.778,10,3,1,4,0,11
"Oct 30, 2023",LAL vs. ORL,W,With LeBron,38,26,12,18,0.667,0,1,0.0,2,3,0.667,19,5,1,3,1,-2
"Oct 29, 2023",LAL @ SAC,L,With LeBron,42,30,11,22,0.5,1,2,0.5,7,8,0.875,16,2,2,3,0,-10
"Oct 26, 2023",LAL vs. PHX,W,With LeBron,39,30,10,17,0.588,1,2,0.5,9,10,0.9,12,2,3,3,2,7
"Oct 24, 2023",LAL @ DEN,L,With LeBron,34,17,6,17,0.353,1,2,0.5,4,4,1.0,8,4,0,2,2,-17
